Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
United States of America,North America,331198130.0,5032179,1980.5,162804.0,300.0,2576668.0,1706.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0
Brazil,South America,212710692.0,2917562,1980.5,98644.0,300.0,2047660.0,1706.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0
India,Asia,1381344997.0,2025409,1980.5,41638.0,300.0,1377384.0,1706.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0
Russia,Europe,145940924.0,871894,1980.5,14606.0,300.0,676357.0,1706.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0
South Africa,Africa,59381566.0,538184,1980.5,9604.0,300.0,387316.0,1706.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0
Mexico,North America,129066160.0,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0
Peru,South America,33016319.0,455409,1980.5,20424.0,300.0,310337.0,1706.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0
Chile,South America,19132514.0,366671,1980.5,9889.0,300.0,340168.0,1706.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0
Colombia,South America,50936262.0,357710,1980.5,11939.0,300.0,192355.0,1706.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0
Spain,Europe,46756648.0,354530,1980.5,28500.0,300.0,59164.41176470588,1706.0,27799.700980392157,617.0,7582.0,610.0,7064329.0,151087.0
Iran,Asia,84097623.0,320117,1980.5,17976.0,300.0,277463.0,1706.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0
UK,Europe,67922029.0,308134,1980.5,46413.0,300.0,59164.41176470588,1706.0,27799.700980392157,73.0,4537.0,683.0,17515234.0,257873.0
Saudi Arabia,Asia,34865919.0,284226,1980.5,3055.0,300.0,247089.0,1706.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0
Pakistan,Asia,221295851.0,281863,1980.5,6035.0,300.0,256058.0,1706.0,19770.0,809.0,1274.0,27.0,2058872.0,9304.0
Bangladesh,Asia,164851401.0,249651,1980.5,3306.0,300.0,143824.0,1706.0,102521.0,538.7768595041322,1514.0,20.0,1225124.0,7432.0
Italy,Europe,60452568.0,249204,1980.5,35187.0,300.0,201323.0,1706.0,12694.0,42.0,4122.0,582.0,7099713.0,117443.0
Turkey,Asia,84428331.0,237265,1980.5,5798.0,300.0,220546.0,1706.0,10921.0,580.0,2810.0,69.0,5081802.0,60191.0
Argentina,South America,45236884.0,228195,1980.5,4251.0,300.0,99852.0,1706.0,124092.0,1150.0,5044.0,94.0,794544.0,17564.0
Germany,Europe,83811260.0,215210,1980.5,9252.0,300.0,196200.0,1706.0,9758.0,236.0,2568.0,110.0,8586648.0,102452.0
France,Europe,65288306.0,195633,1980.5,30312.0,300.0,82460.0,1706.0,82861.0,384.0,2996.0,464.0,3992206.0,61147.0
Iraq,Asia,40306025.0,140603,1980.5,5161.0,300.0,101025.0,1706.0,34417.0,517.0,3488.0,128.0,1092741.0,27111.0
Philippines,Asia,109722719.0,119460,1980.5,2150.0,300.0,66837.0,1706.0,50473.0,239.0,1089.0,20.0,1669996.0,15220.0
Indonesia,Asia,273808365.0,118753,1980.5,5521.0,300.0,75645.0,1706.0,37587.0,538.7768595041322,434.0,20.0,1633156.0,5965.0
Canada,North America,37775022.0,118561,1980.5,8966.0,300.0,103106.0,1706.0,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0
Qatar,Asia,2807805.0,112092,1980.5,178.0,300.0,108831.0,1706.0,3083.0,77.0,39922.0,63.0,511000.0,181993.0
Kazakhstan,Asia,18798667.0,95942,1980.5,1058.0,300.0,68871.0,1706.0,26013.0,221.0,5104.0,56.0,2163713.0,115099.0
Egypt,Africa,102516525.0,95006,1980.5,4951.0,300.0,48898.0,1706.0,41157.0,41.0,927.0,48.0,135000.0,1317.0
Ecuador,South America,17668824.0,90537,1980.5,5877.0,300.0,71318.0,1706.0,13342.0,378.0,5124.0,333.0,258582.0,14635.0
Bolivia,South America,11688459.0,86423,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0
Sweden,Europe,10105596.0,81967,1980.5,5766.0,300.0,59164.41176470588,1706.0,27799.700980392157,38.0,8111.0,571.0,863315.0,85429.0
Oman,Asia,5118446.0,80713,1980.5,492.0,300.0,70910.0,1706.0,9311.0,177.0,15769.0,96.0,309212.0,60411.0
Israel,Asia,9197590.0,79559,1980.5,576.0,300.0,53427.0,1706.0,25556.0,358.0,8650.0,63.0,1872453.0,203581.0
Ukraine,Europe,43705858.0,76808,1980.5,1819.0,300.0,42524.0,1706.0,32465.0,158.0,1757.0,42.0,1116641.0,25549.0
Dominican Republic,North America,10858648.0,76536,1980.5,1246.0,300.0,40539.0,1706.0,34751.0,317.0,7048.0,115.0,281926.0,25963.0
Panama,North America,4321282.0,71418,1980.5,1574.0,300.0,45658.0,1706.0,24186.0,161.0,16527.0,364.0,240995.0,55769.0
Belgium,Europe,11594739.0,71158,1980.5,9859.0,300.0,17661.0,1706.0,43638.0,61.0,6137.0,850.0,1767120.0,152407.0
Kuwait,Asia,4276658.0,70045,1980.5,469.0,300.0,61610.0,1706.0,7966.0,127.0,16378.0,110.0,522200.0,122105.0
Belarus,Europe,9449001.0,68503,1980.5,580.0,300.0,63756.0,1706.0,4167.0,538.7768595041322,7250.0,61.0,1344303.0,142269.0
UAE,Asia,9902079.0,61845,1980.5,354.0,300.0,55739.0,1706.0,5752.0,538.7768595041322,6246.0,36.0,5262658.0,531470.0
Romania,Europe,19224023.0,57895,1980.5,2566.0,300.0,28992.0,1706.0,26337.0,458.0,3012.0,133.0,1319369.0,68631.0
Netherlands,Europe,17138756.0,56982,1980.5,6153.0,300.0,59164.41176470588,1706.0,27799.700980392157,37.0,3325.0,359.0,1079860.0,63007.0
Singapore,Asia,5854932.0,54555,1980.5,27.0,300.0,48031.0,1706.0,6497.0,538.7768595041322,9318.0,5.0,1474372.0,251817.0
Guatemala,North America,17946899.0,54339,1980.5,2119.0,300.0,42070.0,1706.0,10150.0,5.0,3028.0,118.0,172712.0,9624.0
Portugal,Europe,10193593.0,52061,1980.5,1743.0,300.0,37840.0,1706.0,12478.0,42.0,5107.0,171.0,1705474.0,167308.0
Poland,Europe,37842302.0,49515,1980.5,1774.0,300.0,35642.0,1706.0,12099.0,72.0,1308.0,47.0,2374686.0,62752.0
Nigeria,Africa,206606300.0,45244,1980.5,930.0,300.0,32430.0,1706.0,11884.0,7.0,219.0,5.0,306894.0,1485.0
Honduras,North America,9919704.0,45098,1980.5,1423.0,300.0,6116.0,1706.0,37559.0,52.0,4546.0,143.0,109292.0,11018.0
Bahrain,Asia,1706669.0,42889,1980.5,156.0,300.0,39945.0,1706.0,2788.0,41.0,25130.0,91.0,876700.0,513691.0
Japan,Asia,126435859.0,42263,1980.5,1026.0,300.0,28877.0,1706.0,12360.0,115.0,334.0,8.0,938739.0,7425.0
Armenia,Asia,2963811.0,39819,1980.5,772.0,300.0,31556.0,1706.0,7491.0,538.7768595041322,13435.0,260.0,171600.0,57898.0
Ghana,Africa,31133483.0,39642,1980.5,199.0,300.0,36384.0,1706.0,3059.0,7.0,1273.0,6.0,405817.0,13035.0
Kyrgyzstan,Asia,6534479.0,38659,1980.5,1447.0,300.0,30099.0,1706.0,7113.0,24.0,5916.0,221.0,267718.0,40970.0
Afghanistan,Asia,39009447.0,36896,1980.5,1298.0,300.0,25840.0,1706.0,9758.0,31.0,946.0,33.0,90396.0,2317.0
Switzerland,Europe,8660952.0,36108,1980.5,1985.0,300.0,31600.0,1706.0,2523.0,23.0,4169.0,229.0,822764.0,94997.0
Algeria,Africa,43926079.0,33626,1980.5,1273.0,300.0,23238.0,1706.0,9115.0,57.0,766.0,29.0,1402404.7015706806,83959.3664921466
Azerbaijan,Asia,10148243.0,33247,1980.5,479.0,300.0,29275.0,1706.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0
Morocco,Africa,36953359.0,29644,1980.5,449.0,300.0,20553.0,1706.0,8642.0,31.0,802.0,12.0,1383816.0,37448.0
Uzbekistan,Asia,33516027.0,28315,1980.5,175.0,300.0,19291.0,1706.0,8849.0,228.0,845.0,5.0,1377915.0,41112.0
Serbia,Europe,8733665.0,27332,1980.5,621.0,300.0,14047.0,1706.0,12664.0,120.0,3129.0,71.0,723137.0,82799.0
Moldova,Europe,4032983.0,26628,1980.5,828.0,300.0,18676.0,1706.0,7124.0,362.0,6603.0,205.0,128076.0,31757.0
Ireland,Europe,4943200.0,26372,1980.5,1768.0,300.0,23364.0,1706.0,1240.0,5.0,5335.0,358.0,652917.0,132084.0
Kenya,Africa,53881160.0,24411,1980.5,399.0,300.0,10444.0,1706.0,13568.0,44.0,453.0,7.0,335318.0,6223.0
Venezuela,South America,28427499.0,22299,1980.5,195.0,300.0,12146.0,1706.0,9958.0,42.0,784.0,7.0,1567431.0,55138.0
Nepal,Asia,29186486.0,21750,1980.5,65.0,300.0,15389.0,1706.0,6296.0,538.7768595041322,745.0,2.0,731977.0,25079.0
Austria,Europe,9011577.0,21696,1980.5,719.0,300.0,19596.0,1706.0,1381.0,25.0,2408.0,80.0,937275.0,104008.0
Costa Rica,North America,5098730.0,21070,1980.5,200.0,300.0,7038.0,1706.0,13832.0,103.0,4132.0,39.0,96110.0,18850.0
Ethiopia,Africa,115223736.0,20900,1980.5,365.0,300.0,9027.0,1706.0,11508.0,185.0,181.0,3.0,468814.0,4069.0
Australia,Australia/Oceania,25528864.0,19890,1980.5,255.0,300.0,10941.0,1706.0,8694.0,52.0,779.0,10.0,4631419.0,181419.0
El Salvador,North America,6489514.0,19126,1980.5,513.0,300.0,9236.0,1706.0,9377.0,509.0,2947.0,79.0,251271.0,38720.0
Czechia,Europe,10711019.0,17731,1980.5,390.0,300.0,12320.0,1706.0,5021.0,17.0,1655.0,36.0,728670.0,68030.0
Cameroon,Africa,26606188.0,17718,1980.5,391.0,300.0,15320.0,1706.0,2007.0,30.0,666.0,15.0,149000.0,5600.0
Ivory Coast,Africa,26437950.0,16447,1980.5,103.0,300.0,12484.0,1706.0,3860.0,538.7768595041322,622.0,4.0,104584.0,3956.0
S. Korea,Asia,51273732.0,14519,20.0,303.0,1.0,13543.0,42.0,673.0,18.0,283.0,6.0,1613652.0,31471.0
Denmark,Europe,5794279.0,14306,1980.5,617.0,300.0,12787.0,1706.0,902.0,2.0,2469.0,106.0,1654512.0,285542.0
Palestine,Asia,5112340.0,13398,1980.5,92.0,300.0,6907.0,1706.0,6399.0,538.7768595041322,2621.0,18.0,200280.0,39176.0
Bosnia and Herzegovina,Europe,3278650.0,13396,1980.5,384.0,300.0,7042.0,1706.0,5970.0,538.7768595041322,4086.0,117.0,147021.0,44842.0
Bulgaria,Europe,6942854.0,13014,1980.5,435.0,300.0,7374.0,1706.0,5205.0,47.0,1874.0,63.0,294087.0,42358.0
Madagascar,Africa,27755708.0,12526,1980.5,134.0,300.0,10148.0,1706.0,2244.0,88.0,451.0,5.0,46301.0,1668.0
Sudan,Africa,43943536.0,11780,1980.5,763.0,300.0,6194.0,1706.0,4823.0,538.7768595041322,268.0,17.0,401.0,9.0
North Macedonia,Europe,2083365.0,11399,1980.5,517.0,300.0,7480.0,1706.0,3402.0,3.0,5471.0,248.0,109946.0,52773.0
Senegal,Africa,16783877.0,10715,1980.5,223.0,300.0,7101.0,1706.0,3391.0,33.0,638.0,13.0,114761.0,6838.0
Norway,Europe,5425471.0,9468,1980.5,256.0,300.0,8857.0,1706.0,355.0,3.0,1745.0,47.0,472841.0,87152.0
DRC,Africa,89802183.0,9309,1980.5,215.0,300.0,8048.0,1706.0,1046.0,538.7768595041322,104.0,2.0,1402404.7015706806,83959.3664921466
Malaysia,Asia,32406372.0,9038,1980.5,125.0,300.0,8713.0,1706.0,200.0,2.0,279.0,4.0,991333.0,30591.0
French Guiana,South America,299385.0,8127,1980.5,47.0,300.0,7240.0,1706.0,840.0,23.0,27146.0,157.0,41412.0,138324.0
Gabon,Africa,2230563.0,7787,1980.5,51.0,300.0,5609.0,1706.0,2127.0,11.0,3491.0,23.0,85369.0,38272.0
Tajikistan,Asia,9557468.0,7665,1980.5,62.0,300.0,6443.0,1706.0,1160.0,538.7768595041322,802.0,6.0,1402404.7015706806,83959.3664921466
Guinea,Africa,13164905.0,7664,1980.5,49.0,300.0,6757.0,1706.0,858.0,24.0,582.0,4.0,14407.0,1094.0
Haiti,North America,11416103.0,7544,1980.5,171.0,300.0,4832.0,1706.0,2541.0,538.7768595041322,661.0,15.0,18443.0,1616.0
Finland,Europe,5541604.0,7532,1980.5,331.0,300.0,6980.0,1706.0,221.0,538.7768595041322,1359.0,60.0,389500.0,70287.0
Zambia,Africa,18430129.0,7164,1980.5,199.0,300.0,5786.0,1706.0,1179.0,538.7768595041322,389.0,11.0,90307.0,4900.0
Luxembourg,Europe,626952.0,7073,1980.5,119.0,300.0,5750.0,1706.0,1204.0,9.0,11282.0,190.0,623994.0,995282.0
Mauritania,Africa,4660728.0,6444,1980.5,157.0,300.0,5291.0,1706.0,996.0,3.0,1383.0,34.0,57387.0,12313.0
Paraguay,South America,7141091.0,6375,1980.5,66.0,300.0,4974.0,1706.0,1335.0,23.0,893.0,9.0,135277.0,18943.0
Albania,Europe,2877470.0,6016,1980.5,188.0,300.0,3155.0,1706.0,2673.0,23.0,2091.0,65.0,38997.0,13553.0
Lebanon,Asia,6822220.0,5672,1980.5,70.0,300.0,1974.0,1706.0,3628.0,46.0,831.0,10.0,345268.0,50609.0
Croatia,Europe,4102577.0,5404,1980.5,155.0,300.0,4688.0,1706.0,561.0,7.0,1317.0,38.0,125317.0,30546.0
Djibouti,Africa,989387.0,5330,1980.5,59.0,300.0,5057.0,1706.0,214.0,538.7768595041322,5387.0,60.0,59909.0,60552.0
Greece,Europe,10417673.0,5123,1980.5,210.0,300.0,1374.0,1706.0,3539.0,14.0,492.0,20.0,619393.0,59456.0
Libya,Africa,6880353.0,4879,1980.5,107.0,300.0,652.0,1706.0,4120.0,538.7768595041322,709.0,16.0,59699.0,8677.0
Equatorial Guinea,Africa,1407001.0,4821,1980.5,83.0,300.0,2182.0,1706.0,2556.0,538.7768595041322,3426.0,59.0,44356.0,31525.0
Maldives,Asia,541448.0,4680,1980.5,19.0,300.0,2725.0,1706.0,1936.0,12.0,8643.0,35.0,85587.0,158071.0
CAR,Africa,4837752.0,4620,1980.5,59.0,300.0,1641.0,1706.0,2920.0,2.0,955.0,12.0,29589.0,6116.0
Hungary,Europe,9657785.0,4597,1980.5,600.0,300.0,3463.0,1706.0,534.0,8.0,476.0,62.0,352546.0,36504.0
